uid,title,description,long_description,begin,end,location_name,location_city,location_address,origin_agenda
57821294,A la découverte de l'ingénierie nucléaire !,Comment conçoit-on une centrale nucléaire ? A quoi ressembleront les réacteurs de demain ?,"_**Comment conçoit-on une centrale nucléaire ? A quoi ressembleront les réacteurs de demain ?**_  
A Lyon, 2ᵉ pôle de l’ingénierie nucléaire, les élèves sont invités à découvrir les coulisses de cet univers fascinant : de notre mobilisation pour les centrales en exploitation, la prolongation de leur durée de fonctionnement jusqu'à la conception des réacteurs du futur… Entrez en immersion dans l'ingénierie nucléaire et son rôle central dans les projets à fort enjeux d'EDF !",2026-09-18 09:30:00+02:00,2026-09-18 11:00:00+02:00,La Grande Halle,Lyon,"19 Rue Pierre Bourdeix, 69007 Lyon",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
33098397,"Le Vieux Lyon secret: entre Renaissance et 18ème siècle, suivez votre guide costumée et redécouvrez des lieux cachés (traboules et miraboules)","Suivez la très distinguée Mme de Monterrad, dont la famille fait commerce dans la soie. Découvrez le Lyon du 18e siècle avec les nouvelles constructions de Soufflot et sa loge du Change, les prémices…","Suivez la très distinguée Mme de Monterrad, dont la famille fait commerce dans la soie. Découvrez le Lyon du 18e siècle avec les nouvelles constructions de Soufflot et sa loge du Change, les prémices de la Grande Révolte des ouvriers de la soie ou les derniers travaux de la Cathédrale Saint-Jean.  
Entre deux conseils beauté, elle vous fera également découvrir des cours intérieures d'anciens hôtels particuliers datant de la Renaissance, vestiges d'une période de faste.  
La visite débutera Place des Terreaux (DEVANT l'entrée du musée des Beaux Arts), pour se poursuivre dans le Vieux Lyon en empruntant le pont de la Feuillée. Après un clin d'œil à la colline de Fourvière, vous découvrirez notamment, la rue Lainerie puis la rue Juiverie qui a été la plus belle rue du Vieux Lyon.  
Loin de la foule, vous emprunterez des traboules méconnues et des cours intérieures cachées uniquement accessibles le matin.",2026-09-18 09:45:00+02:00,2026-09-18 11:45:00+02:00,Place des Terreaux,Lyon,Place des Terreaux 69001 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
16271065,Visite de l'atelier de l'artiste peintre sculpteur Josiane Mermet-Jaeck,L'artiste Peinte Josiane Mermet Jaeck vous ouvre son atelier exceptionnellement pour les Journées du Patrimoine. Venez la rencontrer et découvrir son univers et son atelier.,L'artiste Peinte Josiane Mermet Jaeck vous ouvre son atelier exceptionnellement pour les Journées du Patrimoine. Venez la rencontrer et découvrir son univers et son atelier.,2026-09-18 10:00:00+02:00,2026-09-18 12:30:00+02:00,Atelier Mermet-Jaeck,Lyon,7 avenue Birmingham 69004 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
94537987,Visite libre du trésor de la Cathédrale de Lyon,Visite libre du trésor de la cathédrale de Lyon.,Visite libre du trésor de la cathédrale de Lyon.,2026-09-18 10:00:00+02:00,2026-09-18 12:30:00+02:00,Cathédrale Saint-Jean-Baptiste,Lyon,"Place Saint Jean, 69005 Lyon, France",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
79988641,Visite guidée : Premiers pas dans l'histoire d'Oullins,Visite guidée du centre historique d'Oullins :,"Visite guidée du centre historique d'Oullins :
----------------------------------------------

Rentrez dans l’histoire inattendue de cette commune de la métropole lyonnaises : entre château de la Renaissance et industrie ferroviaire découvrez l’étendu du patrimoine d’Oullins.  
Une visite d'1h30 pour découvrir le coeur de l'histoire de la ville. Passage du quartier Centre à celui de la Bussière.  
Attention : dénivelé en descente sur certains passages de la visite.  
Accessible aux chiens, chats tenus en laisse ou dans un sac.  
Accès PMR et sac sensoriel disponible ( fidgets, casques antibruit, loupe, carte...) sur demande. Pour tout autre handicap ne pas hésiter à prévenir en amont pour adapter le parcours.",2026-09-18 10:00:00+02:00,2026-09-18 11:30:00+02:00,Hôtel de ville d' Oullins,Oullins,place roger salengro 69600 Oullins,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
49902431,Visite guidée de L'Antiquaille,"Dans le cadre de ces Journées Européennes du Patrimoine, L’Antiquaille présente une exposition de banderoles illustrées retraçant les différentes étapes de la restructuration de l’ancien hôpital de à…","Dans le cadre de ces Journées Européennes du Patrimoine, L’Antiquaille présente une exposition de banderoles illustrées retraçant les différentes étapes de la restructuration de l’ancien hôpital de L’Antiquaille. Grâce à de nombreuses photographies, les visiteurs pourront découvrir l’ampleur des travaux qui ont permis de préserver et de valoriser ce lieu historique afin de le transformer en centre culturel consacré à l’histoire du christianisme lyonnais.

Cette exposition s’inscrit pleinement dans les thèmes nationaux de l’édition 2026 en montrant comment un patrimoine remarquable peut être sauvegardé, réinventé et transmis aux générations futures. Les photographies témoignent de cette métamorphose et offrent un regard unique sur l’évolution d’un site majeur du patrimoine lyonnais.

Les visiteurs pourront également participer à des visites découvertes commentées de deux espaces emblématiques de L’Antiquaille, tous deux classés Monuments Historiques :  
\- **La Crypte des mosaïques**, édifiée en hommage aux 48 martyrs de Lyon de l’an 177 sous l’Empire romain.  
\- **Le Cachot de Pothin**, consacré à saint Pothin, premier évêque de Lugdunum et figure majeure des origines du christianisme en Gaule.  
Chaque visite dure 45 minutes.",2026-09-18 10:00:00+02:00,2026-09-18 17:00:00+02:00,L'Antiquaille,Lyon,49 Montée Saint-Barthélémy 69005 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
73795002,Arch'ivres en Turakie,Arch'ivres en Turakie,"Arch'ivres en Turakie
---------------------

Quand le théâtre d'objets s'empare des Archives pour vous proposer une vision poétique et décalée de la conservation du patrimoine et de l'histoire !  
[En savoir +](https://www.archives-lyon.fr/evenements/journees-europeennes-du-patrimoine)",2026-09-18 10:00:00+02:00,2026-09-18 19:00:00+02:00,Archives de Lyon,Lyon,"1 Place des Archives, 69002 Lyon, France",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
12766962,L'œil de Mermoz,Une action culturelle portée par la MJC Laënnec-Mermoz et le Monde est Flou,"Une action culturelle portée par la MJC Laënnec-Mermoz et le Monde est Flou  
Des enquêtes photographiques menées en 2026 par plus de 90 participant-es à Mermoz (8e arr.) mettent en lumière les habitant-es et leur quartier en mutation. À partir de leurs productions, les habitant-es ont imaginé et conçu une scénographie immersive et en constante évolution.  
Exposition en accès-libre aux horaires d’ouverture de Gadagne, à voir jusqu'au 27/09",2026-09-18 10:30:00+02:00,2026-09-18 18:00:00+02:00,Musée d'histoire de Lyon et Musée des arts de la marionnette,Lyon,"1 Place du Petit Collège, 69005 Lyon, France",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
7549135,Exposition Savoir-Faire,"A l'occasion des Journées Européennes du Patrimoine, la Maison Arthus Bertrand vous invite à découvrir son savoir-faire à travers une exposition retraçant les différentes étapes de fabrication de La…","A l'occasion des Journées Européennes du Patrimoine, la Maison Arthus Bertrand vous invite à découvrir son savoir-faire à travers une exposition retraçant les différentes étapes de fabrication de leurs bijoux. La responsable du patrimoine de la Maison sera présente le vendredi pour répondre à vos questions et vous éclairer sur l'histoire de cette maison historique.",2026-09-18 10:30:00+02:00,2026-09-18 19:00:00+02:00,Boutique Arthus Bertrand,Lyon,15 rue des Archers 69002 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
11560678,Des Corps célestes,Exposition de huit artistes contemporain(e)s,"Cette exposition de huit artistes contemporain(e)s, vivant(e)s, s’inscrit dans l’action pérenne et constante d’une structure associative, Souchaud Art Project, dont l’un des buts est de participer activement à « l’économie poétique » du territoire rhonalpin en mettant en relation artistes et public autour de projets artistiques sensibles connectés à des lieux patrimoniaux, ancrés dans l’histoire et le développement des territoires.  
Direction artistique : Françoise Souchaud  
Commissariat d'exposition : Jean-Marc Paubel",2026-09-18 11:00:00+02:00,2026-09-18 18:00:00+02:00,Chapelle Notre dame de L'île Barbe Lyon 69009,Lyon,Chemin du Bas du Port île Barbe,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
43091126,Atelier reconstitution d'une chambrée militaire,Un atelier de reconstitution d’une chambrée militaire sera proposé aux visiteurs. Cet atelier participatif permettra de découvrir concrètement l’organisation d’un espace de vie militaire d’époque à…,Un atelier de reconstitution d’une chambrée militaire sera proposé aux visiteurs. Cet atelier participatif permettra de découvrir concrètement l’organisation d’un espace de vie militaire d’époque à travers le remontage de lits doubles superposés et la reconstitution d’une chambrée du Fort de Feyzin. Une occasion de mieux comprendre les conditions d’hébergement des soldats et la vie quotidienne au sein du fort.,2026-09-18 11:00:00+02:00,2026-09-18 17:30:00+02:00,Fort de Feyzin,Feyzin,1 allée Séré de Rivières 69320 Feyzin.,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
22326733,La grande guerre racontée en photos,"Exposition présente en septembre au collège Frédéric Mistral, dans le cadre des cours d’histoire ; réalisée par la San-Priode, grandes étapes de la grande guerre, des tranchées et la guerre dans à de…","Exposition présente en septembre au collège Frédéric Mistral, dans le cadre des cours d’histoire ; réalisée par la San-Priode, grandes étapes de la grande guerre, des tranchées et la guerre dans notre région à l’armistice, mais aussi recrutements de combattants et travailleurs dans nos colonies. Apparition de la photographie de guerre.",2026-09-18 11:00:00+02:00,2026-09-18 12:00:00+02:00,Collège Frédéric Mistral,Feyzin,Chemin sous le Fort 69320 Feyzin,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
93569173,Visite guidée du Musée Soieries Brochier,"Le Musée Soieries Brochier ouvre les portes de sa Maison de soierie créée en 1890 et toujours en activité aujourd’hui. A travers l’histoire de 4 générations de la famille Brochier, découvrez les avec…","Le Musée Soieries Brochier ouvre les portes de sa Maison de soierie créée en 1890 et toujours en activité aujourd’hui. A travers l’histoire de 4 générations de la famille Brochier, découvrez les liens étroits tissés avec le monde de la mode et de la haute couture, les collaborations avec les grands artistes contemporains, et l’innovation des textiles techniques.",2026-09-18 11:30:00+02:00,2026-09-18 12:30:00+02:00,Musée Soieries Brochier,Lyon,18 quai Jules Courmont 69002 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
98786639,"Photographier le sensible, Le Vinatier en images","Photographier le sensible, Le Vinatier en images","Photographier le sensible, Le Vinatier en images  
Du 18 septembre au 23 octobre  
Exposition présentée sur les grilles extérieures de l'hôpital, issue du concours photographique mené au printemps 2026 dans le cadre des 150 ans de l'hôpital.  
Afin de donner la parole aux personnes travaillant à l’hôpital ainsi qu’aux usagers, La Ferme du Vinatier a proposé, au printemps, un concours photographique où chaque personne pouvait livrer son regard sur l’hôpital au travers de la thématique Photographier le sensible - Le Vinatier en images.  
Les participant.es ont ainsi pu proposer des images originales, mettant en lumière les espaces, les animaux, les personnes qui font le quotidien de l’hôpital. Scènes de vie et des services, paysages, images bucoliques et architecturales composent ainsi cette exposition.  
Les clichés lauréats, exposés sur les grilles extérieures de l’hôpital, font dialoguer l’hôpital et la ville et donnent à voir des représentations sensibles de l’établissement.  
Rendez-vous vendredi 18 septembre à 17h pour découvrir les lauréats et lauréates et assister à la remise des prix. La soirée se poursuivra avec un concert du groupe Whatever \[shebringswesing\], en partenariat avec l'association Léonard, encore.",2026-09-18 14:00:00+02:00,2026-09-18 20:00:00+02:00,La Ferme du Vinatier,Bron,95 Boulevard Pinel 69500 Bron,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
13461907,"Expo photo - Langlet-Santy, La Permanence Photographique",Le quartier Langlet-Santy s’expose à la galerie item,"A l’occasion de la sortie du livre « Langlet-Santy, la permanence photographique », et dans la cadre du bicentenaire de la photographie, nous sommes heureux de présenter à la galerie ce nouvel ouvrage ainsi que l’exposition éponyme qui revient sur cette expérience fondatrice.

En 2020, au sortir du confinement, le collectif répond à un appel à résidence qui l’engage durant trois années à documenter le renouvellement urbain d’un quartier prioritaire du 8ème arrondissement de Lyon. Au-delà du constat d’évolution urbaine et de la reconfiguration qu’elle oblige, l’équipe s’attache à produire des images du quartier — par les photographes membres, mais aussi par celles et ceux qui l’habitent. Faire circuler les regards, partager les points de vue. Transmettre, à travers des ateliers d’éducation à l’image et à l’information où la pratique est centrale. Manipuler, expérimenter, questionner. Ouvrir enfin un espace d’exposition exigeant et accessible à toutes et tous. Présenter des œuvres qui dialoguent avec le territoire sans jamais le réduire.",2026-09-18 14:00:00+02:00,2026-09-18 19:00:00+02:00,Galerie item,Lyon,35 rue burdeau 69001 lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
80443487,Raconte-moi Le Vinatier,Raconte-moi Le Vinatier,"Raconte-moi Le Vinatier  
Du 18 septembre au 23 octobre  
Exposition photographique et patrimoniale sur l'histoire du Vinatier, dans le cadre des 150 ans de l'hôpital  
La Ferme du Vinatier propose de découvrir l’histoire de l’hôpital, son territoire et ses transformations, à travers une sélection de photographies et d’objets.  
L’exposition met en lumière les fonds historiques et patrimoniaux conservés au sein de La Ferme du Vinatier. Vous découvrirez le fonctionnement de l’ancien Asile départemental d’aliénés de Bron, inauguré en 1876, l’évolution de la psychiatrie, la prise en charge des patients ainsi que la formation en soins infirmiers. Vous en apprendrez davantage sur les métiers exercés au Vinatier, sur sa volonté initiale d’autonomie et d’auto-suffisance, et sur l’évolution des lieux de soin. Trois axes mettront en avant la vie médicale, la vie agricole et la vie quotidienne et sociale des patients, des soignants et des ouvriers.  
Vernissage le vendredi 18 septembre à partir de 17h (rdv devant l'entrée principale de l'hôpital), suivi à 20h30 d'un concert du groupe Whatever \[shebringswesing\]",2026-09-18 14:00:00+02:00,2026-09-18 17:00:00+02:00,La Ferme du Vinatier,Bron,95 Boulevard Pinel 69500 Bron,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
16998503,Le patrimoine photographique de l’artothèque,"Accrochage visible du mercredi 2 au samedi 19 septembre 2026, les mercredis, jeudis, vendredis de 14h à 19h et samedis de 14h à 18h","Accrochage visible du mercredi 2 au samedi 19 septembre 2026, les mercredis, jeudis, vendredis de 14h à 19h et samedis de 14h à 18h

samedi 19 septembre à 11h40 et 16h40 : médiation flash proposée à la fin de la visite de la Maison du livre, de l’image et du son pour les Journées Européennes du Patrimoine

À l’occasion des Journées européennes du patrimoine 2026 célébrant le bicentenaire de la photographie, l’artothèque propose une rétrospective de ses photographies les plus emblématiques acquises depuis 1987 (année précédant l’ouverture de la Mlis). Traversée des ans et des continents témoignant d’une politique d’acquisition internationale (William Klein, Malick Sidibé, Denis Roche, Duane Michals, William Wegman, Donna Gottschalk, Steve McCurry, Andres Serrano, Nan Goldin, Li Wei, Bettina Rheims…), œuvres d’artistes vivant en France et souvent issus d’horizons plus lointains (Jordi Colomer, Atiq Rahimi, Virya Chotpanyavisut, Joana Hadjithomas et Khalil Joreige), photographes emblématiques de la scène française (Eric Tabuchi, Patrick Tosani, Natacha Lesueur, Gerald Petit…) : à Villeurbanne, la photographie est un art multiple et patrimonial.",2026-09-18 14:00:00+02:00,2026-09-18 19:00:00+02:00,"Maison du livre, de l'image et du son",Villeurbanne,247 cours emile zola 69100 villeurbanne,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
79502122,Visite architecturale de la Banque de France,Journées européennes du patrimoine,"A la découverte des locaux de la Banque de France qui datent de 2012, il s'agit de mieux comprendre l'histoire et les missions de cette succursale régionale. La visite permettra de découvrir les endroits stratégiques du bâtiment.",2026-09-18 14:00:00+02:00,2026-09-18 18:00:00+02:00,Banque de France de Lyon,Lyon,"4 bis cours Bayard, 69002 Lyon",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
